epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,758.95,1.56859,2.8847,1.04588,1.0768,0.8087,0.70722,0.79341,0.43857,0.78262,0.68441,0.75471,0.29575,1.54061,2.68713,1.07905,1.08186,0.00155808,0.00155808,0.00155808
35,781.151,1.56,2.80699,1.08947,1.12692,0.8978,0.76827,0.86848,0.47352,0.89262,0.77186,0.85231,0.37235,1.59154,2.58854,0.97297,1.07759,0.00155478,0.00155478,0.00155478
36,803.658,1.69073,2.82187,1.30912,1.18321,0.88826,0.79848,0.8813,0.49331,0.85735,0.77567,0.84043,0.36798,1.5278,2.48566,0.96082,1.08701,0.00155148,0.00155148,0.00155148
37,826.299,1.49417,2.62364,1.00679,1.11503,0.91542,0.74078,0.8528,0.48396,0.89205,0.72267,0.83178,0.36393,1.56686,2.49801,0.91301,1.10328,0.00154818,0.00154818,0.00154818
38,848.432,1.48832,2.5994,1.03489,1.11886,0.92348,0.78009,0.88924,0.54079,0.90548,0.76489,0.86216,0.34062,1.46745,2.51146,0.87065,1.0832,0.00154488,0.00154488,0.00154488
39,870.947,1.49144,2.69802,1.0072,1.08759,0.9029,0.84859,0.90888,0.51868,0.88747,0.83962,0.88002,0.37995,1.49301,2.44378,0.9468,1.06629,0.00154157,0.00154157,0.00154157
40,893.412,1.46798,2.48058,0.95193,1.07195,0.82907,0.84835,0.88489,0.50377,0.79611,0.80228,0.83317,0.32916,1.43258,2.47037,1.08652,1.0599,0.00153827,0.00153827,0.00153827
41,915.523,1.53416,2.6565,1.1807,1.2057,0.82907,0.84835,0.88489,0.50377,0.79611,0.80228,0.83317,0.32916,1.43258,2.47037,1.08652,1.0599,0.00153497,0.00153497,0.00153497
42,937.86,1.41088,2.57574,1.01275,1.1105,0.94692,0.81403,0.92598,0.54581,0.90198,0.78327,0.87874,0.33419,1.38377,2.43829,0.85309,1.05132,0.00153167,0.00153167,0.00153167
43,960.039,1.47762,2.61965,1.01704,1.14251,0.92053,0.79283,0.90644,0.54183,0.9022,0.79087,0.88947,0.41874,1.4602,2.41268,0.87256,1.05163,0.00152837,0.00152837,0.00152837
44,982.539,1.26522,2.46924,0.8595,1.0634,0.91972,0.80608,0.89819,0.56806,0.89876,0.78707,0.86356,0.35065,1.37304,2.38949,0.83346,1.03869,0.00152507,0.00152507,0.00152507
45,1004.76,1.40112,2.50435,0.98951,1.12475,0.94156,0.81369,0.92438,0.57387,0.8853,0.80608,0.88593,0.35349,1.43257,2.43018,0.80452,1.04692,0.00152177,0.00152177,0.00152177
46,1026.73,1.35852,2.49497,0.98815,1.13937,0.93564,0.82917,0.94216,0.57673,0.90123,0.81749,0.90667,0.37719,1.38496,2.3611,0.79747,1.0314,0.00151847,0.00151847,0.00151847
47,1048.93,1.29029,2.26927,0.86164,1.0278,0.92959,0.86692,0.95618,0.57717,0.89768,0.8365,0.90366,0.33911,1.35833,2.33431,0.79349,1.03772,0.00151517,0.00151517,0.00151517
48,1071.03,1.32189,2.4689,0.90542,1.09289,0.94076,0.88593,0.96383,0.59584,0.90335,0.85171,0.90725,0.34038,1.35001,2.28005,0.74612,1.02783,0.00151187,0.00151187,0.00151187
49,1093.01,1.32419,2.36268,0.90736,1.11578,0.91999,0.91813,0.96789,0.57312,0.90011,0.89354,0.93081,0.43314,1.38736,2.31041,0.76877,1.02745,0.00150857,0.00150857,0.00150857
50,1115.3,1.37646,2.34981,1.15038,1.13788,0.91843,0.89901,0.95201,0.58153,0.92431,0.85171,0.92229,0.42097,1.33036,2.22723,0.76098,1.01942,0.00150527,0.00150527,0.00150527
51,1137.48,1.25672,2.32868,0.78141,1.01556,0.91676,0.86312,0.93711,0.5926,0.89799,0.8289,0.89478,0.3471,1.26108,2.2366,0.7471,1.0159,0.00150197,0.00150197,0.00150197
52,1159.84,1.32239,2.31811,0.85568,1.09669,0.95646,0.83517,0.93368,0.60577,0.93456,0.81453,0.89587,0.38803,1.24669,2.21162,0.73008,1.01303,0.00149867,0.00149867,0.00149867
