epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8671,2.71392,4.02985,3.91969,1.38448,0.00428,0.02662,0.00224,0.00154,0.00428,0.02662,0.00224,0.00161,2.61032,3.62502,4.01391,1.23684,5.001e-05,5.001e-05,5.001e-05
2,60.8151,2.50337,3.59655,3.6914,1.12065,0.0133,0.07985,0.01959,0.01328,0.0133,0.07985,0.01961,0.0133,2.47948,3.16404,3.86359,1.03603,0.000115535,0.000115535,0.000115535
3,86.8373,2.33023,3.15202,3.40882,0.99773,0.01798,0.09886,0.02732,0.0169,0.01798,0.09886,0.0273,0.02014,2.43053,2.97819,3.83909,1.01102,0.000179739,0.000179739,0.000179739
4,113.31,2.33229,3.18785,2.91518,0.96208,0.01142,0.06844,0.02365,0.01154,0.01079,0.06464,0.02333,0.01564,2.30031,2.9925,3.84889,1.02617,0.000242624,0.000242624,0.000242624
5,139.565,2.15231,2.83153,2.4882,0.94892,0.02904,0.1749,0.03733,0.01307,0.03346,0.20152,0.04102,0.02105,2.10033,2.87757,3.80115,0.98258,0.000304187,0.000304187,0.000304187
6,166.306,2.13406,2.80813,2.22729,0.95363,0.03526,0.21293,0.04288,0.01861,0.04282,0.25856,0.04862,0.02658,2.2513,2.92408,3.75288,0.99703,0.000364431,0.000364431,0.000364431
7,193.035,1.92353,2.53128,2.00934,0.92527,0.02812,0.1673,0.03861,0.01876,0.02875,0.1711,0.03907,0.0236,2.07241,2.90952,3.73447,0.96877,0.000423355,0.000423355,0.000423355
8,219.625,2.13633,2.77187,1.71216,0.92877,0.05407,0.30798,0.05894,0.02675,0.06008,0.34221,0.06384,0.03259,2.03196,2.91757,3.60254,0.9504,0.000480958,0.000480958,0.000480958
9,246.84,1.87621,2.50831,1.45073,0.89141,0.03191,0.18251,0.03554,0.01673,0.03125,0.17871,0.03488,0.02038,2.07187,2.84388,3.60611,0.96911,0.000537241,0.000537241,0.000537241
10,273.517,1.98339,2.62216,1.29105,0.91724,0.04011,0.22814,0.03947,0.01592,0.03342,0.19011,0.0335,0.01658,2.18399,2.93185,3.51769,0.97488,0.000592203,0.000592203,0.000592203
