epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4493.82,0.89291,1.23752,0.74435,0.84781,0.95977,0.63496,0.93153,0.65056,0.95402,0.63116,0.9077,0.48797,0.97314,1.35813,1.85706,0.85667,0.00120491,0.00120491,0.00120491
30,4649.15,0.87356,1.14479,0.71978,0.8465,0.95753,0.77157,0.95598,0.69643,0.94809,0.76396,0.92347,0.46222,0.95047,1.31321,1.67235,0.85432,0.0011884,0.0011884,0.0011884
31,4811.68,0.87488,1.17308,0.69116,0.84802,0.96661,0.88048,0.96933,0.68673,0.94141,0.85527,0.93131,0.48022,0.99191,1.36216,1.4752,0.85977,0.0011719,0.0011719,0.0011719
32,4965.08,0.90082,1.22667,0.72163,0.84635,0.96122,0.94234,0.97581,0.69426,0.94948,0.92891,0.9596,0.51714,0.97313,1.32059,1.35332,0.85613,0.0011554,0.0011554,0.0011554
33,5115.14,0.81164,1.14385,0.68914,0.84024,0.95776,0.94844,0.97797,0.67348,0.9424,0.93323,0.95818,0.51464,0.9943,1.24887,1.30184,0.85854,0.00113889,0.00113889,0.00113889
34,5269.25,0.92922,1.2437,0.725,0.84769,0.96458,0.94297,0.97723,0.71587,0.94925,0.92463,0.9477,0.47784,0.91621,1.25179,1.25568,0.84996,0.00112239,0.00112239,0.00112239
35,5420.5,0.83998,1.11256,0.69933,0.84788,0.96515,0.94759,0.97757,0.69749,0.94294,0.92395,0.956,0.52207,0.95942,1.26257,1.22393,0.85656,0.00110589,0.00110589,0.00110589
36,5573.46,0.85508,1.12957,0.67913,0.84424,0.95764,0.94565,0.97507,0.67943,0.94271,0.93858,0.95699,0.54919,0.99651,1.25714,1.15686,0.86763,0.00108938,0.00108938,0.00108938
37,5725.34,0.86556,1.22524,0.67936,0.83419,0.96079,0.9316,0.97552,0.71525,0.93251,0.89734,0.92838,0.48847,0.92865,1.28145,1.07437,0.85086,0.00107288,0.00107288,0.00107288
38,5885.49,0.82,1.13113,0.6512,0.83369,0.9606,0.94297,0.97875,0.72489,0.93803,0.91255,0.94371,0.50531,0.90324,1.23764,0.99591,0.84787,0.00105638,0.00105638,0.00105638
39,6045.86,0.80717,1.1026,0.65217,0.84435,0.96612,0.98099,0.98155,0.68554,0.93986,0.95071,0.95041,0.53531,1.00159,1.20658,0.95805,0.86175,0.00103987,0.00103987,0.00103987
40,6199.36,0.88114,1.18512,0.64966,0.83875,0.96146,0.98099,0.98195,0.70857,0.93981,0.94987,0.95007,0.5445,0.95833,1.19269,0.89767,0.85992,0.00102337,0.00102337,0.00102337
41,6343.19,0.83688,1.13763,0.66123,0.84445,0.96151,0.94993,0.98154,0.74,0.94278,0.92395,0.95375,0.5031,0.9047,1.18369,0.86792,0.84627,0.00100687,0.00100687,0.00100687
